"","institution","collection","recordsets","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","contact","contact_role","contact_email","taxonomic_coverage","geographic_range","collection_size","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","update_url","lat","lon"
"1","Abilene Christian University","Herbarium","","ACU<IH>","","urn:uuid:7b7fa352-b307-11e4-b3ee-002315492bbc","","","","Joshua Brokaw","Assistant Curator","josh.brokaw@acu.edu","","",NA,"Department of Biology, Foster Science Building Room 485<br />ACU Box 27868","Abilene","Texas","79699-7868","1600 Campus Court","Abilene","Texas","79699-7868","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:7b7fa352-b307-11e4-b3ee-002315492bbc&entry.326174790=Abilene Christian University&entry.2031121141=Herbarium&entry.4068754=ACU<IH>&entry.1582913154=&entry.1336841557=&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Joshua Brokaw&entry.1687847097=Assistant Curator&entry.1086198428=josh.brokaw@acu.edu&entry.246950189=Department of Biology, Foster Science Building Room 485<br />ACU Box 27868&entry.1584255348=Abilene&entry.1966582743=Texas&entry.256217142=79699-7868&entry.447546773=1600 Campus Court&entry.1565624766=Abilene&entry.1920508789=Texas&entry.1022645685=79699-7868",32.465776,-99.711556
"2","Academy of Natural Sciences of Drexel University","MAIN","","","","urn:uuid:102f5201-6678-4aeb-a4c4-a0b873290757","NA","http://www.ansp.org/research","","","","kpe25@drexel.edu","","",NA,"1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:102f5201-6678-4aeb-a4c4-a0b873290757&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=MAIN&entry.4068754=&entry.1582913154=&entry.1336841557=http://www.ansp.org/research&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=&entry.1687847097=&entry.1086198428=kpe25@drexel.edu&entry.246950189=1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=1900 Benjamin Franklin Parkway&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957983,-75.171365
"3","Academy of Natural Sciences of Drexel University","Botany","7110b8ba-0ead-4666-8279-e30f53e343d0, e39f6dee-f2cf-4eff-afc9-4600cafe660c","PH","PENN<IH>","urn:uuid:3a6a685a-a52f-420f-999f-e8b91017e189","urn:lsid:biocol.org:col:14589","http://www.ansp.org/research/systematics-evolution/collections/botany/","http://ph.ansp.org/","Alina Freire-Fierro","Collections Manager","ans_ph_herbarium@drexel.edu","Scrophulariaceae, Polemoniaceae, Pandanaceae, Rutaceae, Cyperacea","North America",1450840,"Botany Department, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:3a6a685a-a52f-420f-999f-e8b91017e189&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Botany&entry.4068754=PH&entry.1582913154=PENN<IH>&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/botany/&entry.103879345=http://ph.ansp.org/&entry.107456176=North America&entry.879476273=Scrophulariaceae, Polemoniaceae, Pandanaceae, Rutaceae, Cyperacea&entry.417603227=1450840&entry.1321049572=Alina Freire-Fierro&entry.1687847097=Collections Manager&entry.1086198428=ans_ph_herbarium@drexel.edu&entry.246950189=Botany Department, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=1900 Benjamin Franklin Parkway&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957983,-75.171365
"4","Academy of Natural Sciences of Drexel University","Diatom Herbarium","","DH","","urn:uuid:11c774cd-56c3-44e0-a305-e3e5d7804e1a","http://grbio.org/cool/nft6-732g","http://www.ansp.org/research/systematics-evolution/collections/diatom-herbarium/","http://clade.ansp.org/diatoms/","Marina Potapova","Curator","potapova@ansp.org","Exsiccatae","Worldwide",220000,"Diatom Herbarium, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:11c774cd-56c3-44e0-a305-e3e5d7804e1a&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Diatom Herbarium&entry.4068754=DH&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/diatom-herbarium/&entry.103879345=http://clade.ansp.org/diatoms/&entry.107456176=Worldwide&entry.879476273=Exsiccatae&entry.417603227=220000&entry.1321049572=Marina Potapova&entry.1687847097=Curator&entry.1086198428=potapova@ansp.org&entry.246950189=Diatom Herbarium, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"5","Academy of Natural Sciences of Drexel University","Entomology","","ANSP","","urn:uuid:048130fb-f013-4297-abfe-648a2bf4b28e","NA","http://www.ansp.org/research/systematics-evolution/collections/entomology/","http://clade.ansp.org/entomology/","Daniel Otte","Curator, Chair","otte@ansp.org","Orthoptera, Lepidoptera","Worldwide",3500000,"Department of Entomology , 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:048130fb-f013-4297-abfe-648a2bf4b28e&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Entomology&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/entomology/&entry.103879345=http://clade.ansp.org/entomology/&entry.107456176=Worldwide&entry.879476273=Orthoptera, Lepidoptera&entry.417603227=3500000&entry.1321049572=Daniel Otte&entry.1687847097=Curator, Chair&entry.1086198428=otte@ansp.org&entry.246950189=Department of Entomology , 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"6","Academy of Natural Sciences of Drexel University","Herpetology","","ANSP","","urn:uuid:22a68cd4-50ca-4f89-afce-5bdbad4fdf41","NA","http://www.ansp.org/research/systematics-evolution/collections/herpetology/","NA","Ted Daeschler","Associate Curator","daeschler@ansp.org","","New World",40000,"Department of Vertebrate Zoology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:22a68cd4-50ca-4f89-afce-5bdbad4fdf41&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Herpetology&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/herpetology/&entry.103879345=NA&entry.107456176=New World&entry.879476273=&entry.417603227=40000&entry.1321049572=Ted Daeschler&entry.1687847097=Associate Curator&entry.1086198428=daeschler@ansp.org&entry.246950189=Department of Vertebrate Zoology, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"7","Academy of Natural Sciences of Drexel University","Invertebrates (general)","","ANSP","","urn:uuid:24fa77f4-9845-46df-8fa6-f36c8d8fda42","NA","http://www.ansp.org/research/systematics-evolution/collections/invertebrates/","NA","Paul Callomon","Collections Manager","callomon@ansp.org","Protozoa, Porifera, Cnidaria, Platyhelminthes, Gastrotricha, Rotifera, Nemata, Nematomorpha, Annelida, Arthropoda, Bryozoa, Brachiopoda, and Echinodermata","Eastern US",18000,"Department of Malacology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:24fa77f4-9845-46df-8fa6-f36c8d8fda42&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Invertebrates (general)&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/invertebrates/&entry.103879345=NA&entry.107456176=Eastern US&entry.879476273=Protozoa, Porifera, Cnidaria, Platyhelminthes, Gastrotricha, Rotifera, Nemata, Nematomorpha, Annelida, Arthropoda, Bryozoa, Brachiopoda, and Echinodermata&entry.417603227=18000&entry.1321049572=Paul Callomon&entry.1687847097=Collections Manager&entry.1086198428=callomon@ansp.org&entry.246950189=Department of Malacology, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"8","Academy of Natural Sciences of Drexel University","Ichthyology","","ANSP","ANSP","urn:uuid:91fbab09-086e-4256-a673-407c39da5870","NA","http://www.ansp.org/research/systematics-evolution/collections/icthyology/","http://clade.ansp.org/ichthyology/collections/","Mark Sabaj Pérez","Interim Curator","sabaj@ansp.org","","Worldwide",1200000,"Department of Ichthyology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:91fbab09-086e-4256-a673-407c39da5870&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Ichthyology&entry.4068754=ANSP&entry.1582913154=ANSP&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/icthyology/&entry.103879345=http://clade.ansp.org/ichthyology/collections/&entry.107456176=Worldwide&entry.879476273=&entry.417603227=1200000&entry.1321049572=Mark Sabaj Pérez&entry.1687847097=Interim Curator&entry.1086198428=sabaj@ansp.org&entry.246950189=Department of Ichthyology, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"9","Academy of Natural Sciences of Drexel University","Malacology","","ANSP","","urn:uuid:8a6501e6-8677-472b-8ae2-c4fe74d39255","NA","http://www.ansp.org/research/systematics-evolution/collections/malacology/","http://clade.ansp.org/malacology/collections","Paul Callomon","Collections Manager","callomon@ansp.org","shallow-water marine mollusks from the tropical Indo-Pacific and the Western Atlantic and worldwide freshwater and land mollusks","",430000,"Department of Malacology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:8a6501e6-8677-472b-8ae2-c4fe74d39255&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Malacology&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/malacology/&entry.103879345=http://clade.ansp.org/malacology/collections&entry.107456176=&entry.879476273=shallow-water marine mollusks from the tropical Indo-Pacific and the Western Atlantic and worldwide freshwater and land mollusks&entry.417603227=430000&entry.1321049572=Paul Callomon&entry.1687847097=Collections Manager&entry.1086198428=callomon@ansp.org&entry.246950189=Department of Malacology, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"10","Academy of Natural Sciences of Drexel University","Mammalogy","","ANSP","","urn:uuid:bb42b8d0-b0c1-4f64-b76c-37d48825d8f6","NA","http://www.ansp.org/research/systematics-evolution/collections/mammalogy/","NA","Ted Daeschler","Associate Curator","daeschler@ansp.org","carnivores, bovids, and primates","Tibet, Central America and Indonesia, New Jersey / Pennsylvania / Delaware",22600,"Department of Mammalogy, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:bb42b8d0-b0c1-4f64-b76c-37d48825d8f6&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Mammalogy&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/mammalogy/&entry.103879345=NA&entry.107456176=Tibet, Central America and Indonesia, New Jersey / Pennsylvania / Delaware&entry.879476273=carnivores, bovids, and primates&entry.417603227=22600&entry.1321049572=Ted Daeschler&entry.1687847097=Associate Curator&entry.1086198428=daeschler@ansp.org&entry.246950189=Department of Mammalogy, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
